Symbol	Name	LastSale	MarketCap	ADR TSO	Sector	Industry
YI	"111, Inc."	3.76	48531053.2	12907195	Health Care	Medical/Nursing Services
PIH	"1347 Property Insurance Holdings, Inc."	5.15	30965734.6	n/a	Finance	Property-Casualty Insurers
PIHPP	"1347 Property Insurance Holdings, Inc."	25.5	17850000	n/a	Finance	Property-Casualty Insurers
TURN	180 Degree Capital Corp.	1.94	60375830.28	n/a	Finance	Finance/Investors Services
FLWS	"1-800 FLOWERS.COM, Inc."	19.38	1246480069	n/a	Consumer Services	Other Specialty Stores
BCOW	"1895 Bancorp of Wisconsin, Inc."	9.4	45840763.8	n/a	Finance	Banks
FCCY	1st Constitution Bancorp (NJ)	18.18	157238692.7	n/a	Finance	Savings Institutions
SRCE	1st Source Corporation	47.07	1201942429	n/a	Finance	Major Banks
VNET	"21Vianet Group, Inc."	7.28	454999483.1	62499929	Technology	"Computer Software: Programming, Data Processing"
TWOU	"2U, Inc."	35.57	2243713556	n/a	Technology	Computer Software: Prepackaged Software
QFIN	"360 Finance, Inc."	10.84	33604000	3100000	Finance	Finance: Consumer Services
JOBS	"51job, Inc."	83.79	2991727732	35705069	Technology	Diversified Commercial Services
JFK	8i Enterprises Acquisition Corp	9.904	73561960	n/a	Finance	Business Services
JFKKR	8i Enterprises Acquisition Corp	0.5	0	n/a	Finance	Business Services
JFKKU	8i Enterprises Acquisition Corp	10.75	53750000	n/a	Finance	Business Services
JFKKW	8i Enterprises Acquisition Corp	0.35	2012500	n/a	Finance	Business Services
EGHT	8x8 Inc	26.27	2603274670	n/a	Technology	EDP Services
AAON	"AAON, Inc."	51.76	2697485909	n/a	Capital Goods	Industrial Machinery/Components
ABEO	Abeona Therapeutics Inc.	3.18	156335309.5	n/a	Health Care	Major Pharmaceuticals
ABEOW	Abeona Therapeutics Inc.	0.4	0	n/a	Health Care	Major Pharmaceuticals
ABIL	Ability Inc.	0.777	6246350.397	n/a	Capital Goods	Telecommunications Equipment
ABMD	"ABIOMED, Inc."	272.66	12346915676	n/a	Health Care	Medical/Dental Instruments
AXAS	Abraxas Petroleum Corporation	0.87	146481013.5	n/a	Energy	Oil & Gas Production
ACIU	AC Immune SA	5.49	370917208.2	n/a	Health Care	Major Pharmaceuticals
ACIA	"Acacia Communications, Inc."	65.1	2668541768	n/a	Technology	Semiconductors
ACTG	Acacia Research Corporation	2.75	137676772.8	n/a	Miscellaneous	Multi-Sector Companies
ACHC	"Acadia Healthcare Company, Inc."	33.2	2944880670	n/a	Health Care	Medical Specialities
ACAD	ACADIA Pharmaceuticals Inc.	23.34	3364832643	n/a	Health Care	Major Pharmaceuticals
ACAM	Acamar Partners Acquisition Corp.	9.77	373181290	n/a	Finance	Business Services
ACAMU	Acamar Partners Acquisition Corp.	10.02	0	n/a	Finance	Business Services
ACAMW	Acamar Partners Acquisition Corp.	0.73	0	n/a	Finance	Business Services
ACST	"Acasti Pharma, Inc."	2.31	182863605.5	n/a	Health Care	Major Pharmaceuticals
AXDX	"Accelerate Diagnostics, Inc."	19.44	1058700242	n/a	Capital Goods	Biotechnology: Laboratory Analytical Instruments
XLRN	Acceleron Pharma Inc.	43.22	2277077683	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ARAY	Accuray Incorporated	4.09	360018552.6	n/a	Health Care	Medical/Dental Instruments
ACRX	"AcelRx Pharmaceuticals, Inc."	2.44	192550574.8	n/a	Health Care	Major Pharmaceuticals
ACER	Acer Therapeutics Inc.	2.85	28748984.55	n/a	Health Care	Major Pharmaceuticals
ACHV	"Achieve Life Sciences, Inc. "	1.85	14477297.1	n/a	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN	"Achillion Pharmaceuticals, Inc."	4.65	645072765.9	n/a	Health Care	Major Pharmaceuticals
ACIW	"ACI Worldwide, Inc."	33.51	3704972463	n/a	Technology	Computer Software: Prepackaged Software
ACRS	"Aclaris Therapeutics, Inc."	1.75	72226539	n/a	Health Care	Major Pharmaceuticals
ACMR	"ACM Research, Inc."	17.79	286277676.2	n/a	Technology	Industrial Machinery/Components
ACNB	ACNB Corporation	37.6	265068043.2	n/a	Finance	Major Banks
ACOR	"Acorda Therapeutics, Inc."	6.78	326319176.2	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ACTT	Act II Global Acquisition Corp.	9.78	366750000	n/a	Finance	Business Services
ACTTU	Act II Global Acquisition Corp.	10.1801	0	n/a	Finance	Business Services
ACTTW	Act II Global Acquisition Corp.	0.88	19140000	n/a	Finance	Business Services
ATVI	"Activision Blizzard, Inc"	47.99	36760662445	n/a	Technology	Computer Software: Prepackaged Software
ADMS	"Adamas Pharmaceuticals, Inc."	6.01	165474598.1	n/a	Health Care	Major Pharmaceuticals
ADMP	Adamis Pharmaceuticals Corporation	1.18	56212968.62	n/a	Health Care	Major Pharmaceuticals
ADAP	Adaptimmune Therapeutics plc	3.18	259942444.3	81742907	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ADPT	Adaptive Biotechnologies Corporation	39.67	4888305204	n/a	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)
ADUS	Addus HomeCare Corporation	80.68	1063572007	n/a	Health Care	Medical/Nursing Services
AEY	"ADDvantage Technologies Group, Inc."	1.71	17717809.32	n/a	Consumer Services	Office Equipment/Supplies/Services
IOTS	Adesto Technologies Corporation	8.1	240732291.6	n/a	Technology	Semiconductors
ADIL	"Adial Pharmaceuticals, Inc"	1.87	19118317.13	n/a	Health Care	Major Pharmaceuticals
